output_id,name,description,progress_pct,lead_expert,outcome,implementer,deliverable
1.1,접근성이 강화된 응급 진료 및 외래 서비스,활동 1.1.1 부카스센터 기자재 지원,0,기자재 전문가(안),성과 1. 부카스센터 의료서비스 접근성 및 품질 제고,현지 기관(기자재 공급 수행기관) — PMC는 리스트 검토·검수·교육 모니터링,25개 부카스센터 내 설치 완료 및 정상 작동이 확인된 기자재 / 기자재 운영·관리 교육을 이수한 부카스센터 인력(100명 이상)
1.2,품질이 강화된 응급 진료 및 외래 서비스,활동 1.2.1 부카스센터 의료인력 기술지원 및 멘토링,0,PL(안),성과 1. 부카스센터 의료서비스 접근성 및 품질 제고,현지 기관(기자재 공급 수행기관) — PMC는 리스트 검토·검수·교육 모니터링,"기술지원, 피드백 및 멘토링 세션을 이수한 부카스센터 인력(50명 이상)"
2.1,강화된 부카스센터 운영관리 역량,활동 2.1.1 운영관리 교육과정 개발 / 2.1.2 강사양성·동료교육,0,병원운영 전문가(안),성과 2. 부카스센터 운영체계 및 지역사회 연계 강화,현지 기관(현지 교육 수행기관) — PMC는 기술지원·모니터링,부카스센터 운영관리 교육과정 및 교재 / 현지교육으로 역량이 강화된 보건부·부카스센터 인력(200명 이상)
2.2,개선된 부카스센터 통합 지역사회 의료서비스 전달체계(HCPN),활동 2.2.1 HCPN 가이드라인 개발 / 2.2.2 지역사회 보건의료 인력 인식제고·교육,0,보건정책 전문가(안),성과 2. 부카스센터 운영체계 및 지역사회 연계 강화,현지 기관(현지 교육 수행기관) — PMC는 기술지원·모니터링,부카스센터 통합 HCPN 가이드라인 / 가이드라인 활용 교육으로 역량이 강화된 보건부·부카스센터·지역보건 의료인력(500명 이상)
3.1,강화된 부카스센터 국가 정책 책임성 및 근거기반 의사결정,활동 3.1.1 부카스센터 정책 평가 및 환류,0,보건정책 전문가(안),성과 3. 부카스센터 국가 정책 및 거버넌스 개선,PMC (현지 평가 수행기관과 협업),부카스센터 정책 평가 결과보고서 / 정책 평가 종합 결과보고서
3.2,지속가능하고 체계가 확립된 부카스센터 운영관리 체계,활동 3.2.1 데이터 통계 관리·평가체계 구축 역량강화 / 3.2.2 발전계획·표준 운영 매뉴얼,0,성과관리 전문가(안),성과 3. 부카스센터 국가 정책 및 거버넌스 개선,PMC (시스템 구축 주체는 DOH KMITS),데이터 통계 관리시스템 / 평가체계(스코어카드) / 발전계획 / 표준운영매뉴얼 / 초청연수 이수 실무자(20명)·관리자(20명)
